city,district,state,rainfall_intensity_mm_hr,raindrop_size_mm,rainfall_type,roof_area_m2,ph,tds,turbidity,harvestable,harvest_quantity_liters,rain_energy_joules
Ahmedabad,Ahmedabad,Gujarat,29.25568144892501,2.0117788580386864,Moderate,213.46113897120915,5.977273023848339,2500.0,5.201643072369692,0,0.0,0.8609356292851158
Jaipur,Jaipur,Rajasthan,30.33034652672729,1.465127000109482,Moderate,196.2929691149915,,2500.0,3.8319370037943137,0,0.0,0.673907082316275
Vijayawada,Krishna,Andhra Pradesh,55.44430366143552,3.9174869297466546,Heavy,90.55741802558651,5.913960302479017,2500.0,2.8744486303975774,0,0.0,6.021316106710124
Mumbai,Mumbai,Maharashtra,12.741986512103471,1.2787481721309093,Storm,51.97620648760849,9.5,2500.0,2.5548432186122865,0,0.0,0.10380763870330328
Mumbai,Mumbai,Maharashtra,13.333150616544456,1.4486205221071233,Storm,57.645911110740286,9.5,2500.0,2.9380523106618788,0,0.0,0.1287627394920577
Vijayawada,Krishna,Andhra Pradesh,46.81628440157743,5.275831481141631,Heavy,86.91102057676909,6.442121074319243,2500.0,3.966216936554098,0,0.0,5.781690035052401
Bengaluru,Bangalore Urban,Karnataka,41.009933591634386,4.53275131897264,Moderate,133.46353565569996,8.408307223882916,2500.0,3.997080835116356,1,4652.331124023236,3.811623793757837
Delhi,New Delhi,Delhi,4.115408331133956,1.82373587596244,Storm,68.81552336457204,7.827009095973072,2500.0,4.7922007568185165,1,240.72338144101772,0.015443929507850696
Pune,Pune,Maharashtra,11.703022730875752,1.4285812642561586,Storm,157.24055283129496,5.5,2500.0,3.9143055808545197,0,0.0,0.0978297742937593
Vijayawada,Krishna,Andhra Pradesh,54.64233066550184,5.483399466195663,Heavy,88.60330586805344,6.64379757428808,2500.0,3.313810231976603,1,4115.267466703959,8.18612401992768
Pune,Pune,Maharashtra,9.875763489118487,1.3352817312763552,Storm,149.72745271782537,5.5,2500.0,3.5245902884942786,0,0.0,0.06511548397401166
Chennai,Chennai,Tamil Nadu,36.78121984679185,1.1943922627584438,Storm,129.6408946173645,5.5,2500.0,3.9462604023390098,0,0.0,0.8079216435821654
Hyderabad,Hyderabad,Telangana,19.9888607081327,0.6467293866806603,Heavy,161.12153343516184,8.161446259666382,2500.0,3.409123217808566,1,2737.5405055787664,0.12920183531251161
Jaipur,Jaipur,Rajasthan,30.576391513489618,1.819289074298601,Moderate,178.85754175989862,,2500.0,4.1291080086805465,0,0.0,0.8504409755611628
Pune,Pune,Maharashtra,9.11923161684773,1.347293030689638,Storm,149.42114495110437,5.5,2500.0,4.028699444567864,0,0.0,0.05602070375976005
Ahmedabad,Ahmedabad,Gujarat,33.30420243563102,2.296354787223077,Moderate,205.37043917936384,5.5,2500.0,5.034003764093075,0,0.0,1.2735238047091164
Mumbai,Mumbai,Maharashtra,11.754647135522463,1.0594193487643604,Storm,50.156603541835985,9.5,2500.0,3.5268565388548994,0,0.0,0.07319090172607398
Vijayawada,Krishna,Andhra Pradesh,62.545165381679,4.997511792648568,Heavy,70.20522652593911,6.11642648332173,2500.0,2.92831201687799,0,0.0,9.774877475230646
Chennai,Chennai,Tamil Nadu,36.78029598715858,1.5003002394221931,Storm,138.55048251302173,5.5,2500.0,3.484511073933693,0,0.0,1.0147957101471758
Bengaluru,Bangalore Urban,Karnataka,40.99234110598234,3.4230449742133255,Moderate,143.4714711981067,8.58755665651486,2500.0,5.173729257581582,0,0.0,2.875994514936229
Vijayawada,Krishna,Andhra Pradesh,50.86462674070315,4.221480849905907,Heavy,81.3134637914185,6.463935437874335,2500.0,2.664516412580408,0,0.0,5.460929269854132
Jaipur,Jaipur,Rajasthan,52.0781597791995,1.5473677742007896,Moderate,207.05637169534344,,2500.0,4.413347262815008,0,0.0,2.098334937142231
Pune,Pune,Maharashtra,11.89544428883111,1.163246320772867,Storm,122.9655728734936,5.5,2500.0,3.097924783312366,0,0.0,0.08230060478398019
